Timestamp,INDI_Outer.disturbance,INDI_Outer.disturbance_f,INDI_Outer.disturbance_a
65737,0.8174999952316284,0.8175039291381836,0.8175032138824463
65757,0.8174999952316284,0.8175041079521179,0.8175032138824463
65777,0.8174999952316284,0.8175040483474731,0.8175032138824463
65797,0.8174999952316284,0.8175038695335388,0.8175032138824463
65817,0.8174999952316284,0.8175039291381836,0.8175032138824463
65837,0.8174999952316284,0.8175041079521179,0.8175032138824463
65857,0.8174999952316284,0.8175040483474731,0.8175032138824463
65877,0.8174999952316284,0.8175038695335388,0.8175032138824463
65897,0.8174999952316284,0.8175039291381836,0.8175032138824463
65917,0.8174999952316284,0.8175041079521179,0.8175032138824463
65937,0.8174999952316284,0.8175040483474731,0.8175032138824463
65957,0.8174999952316284,0.8175038695335388,0.8175032138824463
65977,0.8174999952316284,0.8175039291381836,0.8175032138824463
65997,0.8174999952316284,0.8175041079521179,0.8175032138824463
66017,0.8174999952316284,0.8175040483474731,0.8175032138824463
66037,0.8174999952316284,0.8175038695335388,0.8175032138824463
66057,0.8174999952316284,0.8175039291381836,0.8175032138824463
66077,0.8174999952316284,0.8175041079521179,0.8175032138824463
66097,0.8174999952316284,0.8175040483474731,0.8175032138824463
66117,0.8174999952316284,0.8175038695335388,0.8175032138824463
66137,0.8174999952316284,0.8175039291381836,0.8175032138824463
66157,0.8174999952316284,0.8175041079521179,0.8175032138824463
66177,0.8174999952316284,0.8175040483474731,0.8175032138824463
66197,0.8174999952316284,0.8175038695335388,0.8175032138824463
66217,0.8174999952316284,0.8175039291381836,0.8175032138824463
66237,0.8174999952316284,0.8175041079521179,0.8175032138824463
66257,0.8174999952316284,0.8175039291381836,0.8175032138824463
66277,0.8174999952316284,0.8175038695335388,0.8175032138824463
66297,0.8174999952316284,0.8175040483474731,0.8175032138824463
66317,0.8174999952316284,0.8175041079521179,0.8175032138824463
66337,0.8174999952316284,0.8175039291381836,0.8175032138824463
66357,0.8174999952316284,0.8175038695335388,0.8175032138824463
66377,0.8174999952316284,0.8175040483474731,0.8175032138824463
66397,0.8174999952316284,0.8175041079521179,0.8175032138824463
66417,0.8174999952316284,0.8175039291381836,0.8175032138824463
66437,0.8174999952316284,0.8175038695335388,0.8175032138824463
66457,0.8174999952316284,0.8175040483474731,0.8175032138824463
66477,0.8174999952316284,0.8175041079521179,0.8175032138824463
66497,0.8174999952316284,0.8175039291381836,0.8175032138824463
66517,0.8174999952316284,0.8175038695335388,0.8175032138824463
66537,0.8174999952316284,0.8175040483474731,0.8175032138824463
66557,0.8174999952316284,0.8175041079521179,0.8175032138824463
66577,0.8174999952316284,0.8175039291381836,0.8175032138824463
66597,0.8174999952316284,0.8175038695335388,0.8175032138824463
66617,0.8174999952316284,0.8175040483474731,0.8175032138824463
66637,0.8174999952316284,0.8175041079521179,0.8175032138824463
66657,0.8174999952316284,0.8175039291381836,0.8175032138824463
66677,0.8174999952316284,0.8175038695335388,0.8175032138824463
66697,0.8174999952316284,0.8175040483474731,0.8175032138824463
66717,0.8174999952316284,0.8175041079521179,0.8175032138824463
66737,0.8174999952316284,0.8175039291381836,0.8175032138824463
66757,0.8174999952316284,0.8175038695335388,0.8175032138824463
66777,0.8174999952316284,0.8175040483474731,0.8175032138824463
66797,0.8174999952316284,0.8175041079521179,0.8175032138824463
66817,0.8174999952316284,0.8175039291381836,0.8175032138824463
66837,0.8174999952316284,0.8175038695335388,0.8175032138824463
66857,0.8174999952316284,0.8175040483474731,0.8175032138824463
66877,0.8174999952316284,0.8175041079521179,0.8175032138824463
66897,0.8174999952316284,0.8175039291381836,0.8175032138824463
66917,0.8174999952316284,0.8175038695335388,0.8175032138824463
66937,0.8174999952316284,0.8175040483474731,0.8175032138824463
66957,0.8174999952316284,0.8175041079521179,0.8175032138824463
66977,0.8174999952316284,0.8175039291381836,0.8175032138824463
66997,0.8174999952316284,0.8175038695335388,0.8175032138824463
67017,0.8174999952316284,0.8175040483474731,0.8175032138824463
67037,0.8174999952316284,0.8175041079521179,0.8175032138824463
67057,0.8174999952316284,0.8175039291381836,0.8175032138824463
67077,0.8174999952316284,0.8175038695335388,0.8175032138824463
67097,0.8174999952316284,0.8175040483474731,0.8175032138824463
67117,0.8174999952316284,0.8175041079521179,0.8175032138824463
67137,0.8174999952316284,0.8175039291381836,0.8175032138824463
67157,0.8174999952316284,0.8175038695335388,0.8175032138824463
67177,0.8174999952316284,0.8175040483474731,0.8175032138824463
67197,0.8174999952316284,0.8175041079521179,0.8175032138824463
67217,0.8174999952316284,0.8175039291381836,0.8175032138824463
67237,0.8174999952316284,0.8175038695335388,0.8175032138824463
67257,0.8174999952316284,0.8175040483474731,0.8175032138824463
67277,0.8174999952316284,0.8175041079521179,0.8175032138824463
67297,0.8174999952316284,0.8175039291381836,0.8175032138824463
67317,0.8174999952316284,0.8175038695335388,0.8175032138824463
67337,0.8174999952316284,0.8175040483474731,0.8175032138824463
67357,0.8174999952316284,0.8175041079521179,0.8175032138824463
67377,0.8174999952316284,0.8175039291381836,0.8175032138824463
67397,0.8174999952316284,0.8175038695335388,0.8175032138824463
67417,0.8174999952316284,0.8175040483474731,0.8175032138824463
67437,0.8174999952316284,0.8175041079521179,0.8175032138824463
67457,0.8174999952316284,0.8175039291381836,0.8175032138824463
67477,0.8174999952316284,0.8175038695335388,0.8175032138824463
67497,0.8174999952316284,0.8175040483474731,0.8175032138824463
67517,0.8174999952316284,0.8175041079521179,0.8175032138824463
67537,0.8174999952316284,0.8175039291381836,0.8175032138824463
67557,0.8174999952316284,0.8175038695335388,0.8175032138824463
67577,0.8174999952316284,0.8175040483474731,0.8175032138824463
67597,0.8174999952316284,0.8175041079521179,0.8175032138824463
67617,0.8174999952316284,0.8175039291381836,0.8175032138824463
67637,0.8174999952316284,0.8175038695335388,0.8175032138824463
67657,0.8174999952316284,0.8175040483474731,0.8175032138824463
67677,0.8174999952316284,0.8175041079521179,0.8175032138824463
67697,0.8174999952316284,0.8175039291381836,0.8175032138824463
67717,0.8174999952316284,0.8175038695335388,0.8175032138824463
67737,0.8174999952316284,0.8175040483474731,0.8175032138824463
67757,0.8174999952316284,0.8175041079521179,0.8175032138824463
